State,Pollster,Grade,Sample,Date,weight,Biden,Bloomberg,Booker,Buttigieg,Klobuchar,Sanders,Steyer,Warren,Yang
Pennsylvania,Baldwin Wallace University/Oakland University/Ohio Northern University,-,502  rv,Jan-20,5.9,31,9,0,7,3,21,1,12,3
Ohio,Baldwin Wallace University/Oakland University/Ohio Northern University,-,428  rv,Jan-20,5.6,32,10,0,6,2,21,2,11,2
New York,Civis Analytics,-,845  lv,Jan-19,8.1,30,17,0,7,2,17,4,14,4
US,SSRS,A/B,500  rv,Jan-19,23.1,24,5,0,11,4,27,2,14,4
US,Morning Consult,B/C,12402  lv,Jan-19,23.4,29,10,0,8,3,24,3,15,4
New Hampshire,Suffolk University,A-,500  lv,Jan-19,27.3,15,0,0,12,5,16,3,10,6
New Jersey,Emerson College,A-,388  lv,Jan-19,25.6,28,9,0,6,4,25,0,15,6
Iowa,David Binder Research,-,500  lv,Jan-18,7.1,24,1,0,16,11,14,4,18,3
Iowa,Neighborhood Research and Media,B/C,300  lv,Jan-17,8.2,23,0,0,17,11,10,2,15,2
US,Ipsos,B-,681  a,Jan-16,0,18,9,0,6,1,19,1,10,3
California,SurveyUSA,A,565  lv,Jan-16,37.7,30,6,0,8,2,20,4,20,4
US,SurveyUSA,A,1086  lv,Jan-16,54.4,32,9,0,9,2,21,3,14,4
New Hampshire,Emerson College,A-,657  lv,Jan-16,30.4,14,0,0,18,10,23,4,14,6
US,Ipsos,B-,552  rv,Jan-16,0,19,9,0,6,2,20,2,12,4
US,YouGov,B-,521  lv,Jan-14,0,27,5,2,7,3,20,1,19,3
US,Harris Insights & Analytics,C+,451  rv,Jan-14,7.4,29,7,0,4,3,19,3,11,2
Wisconsin,Marquette University Law School,A/B,358  lv,1-Dec,17.8,23,6,1,15,4,19,1,14,6
Florida,Florida Atlantic University,B/C,494  lv,1-Dec,9.3,42,7,3,3,6,16,2,10,5
North Carolina,Public Policy Polling,B,509  lv,1-Dec,14.4,31,8,1,6,3,18,3,15,5
US,Morning Consult,B/C,17096  lv,1-Dec,0,29,8,2,8,3,23,4,14,5
California,Public Policy Institute of California,A/B,530  lv,1-Dec,18.2,24,1,0,6,4,27,0,23,3
New Hampshire,RKM Research and Communications Inc.,A/B,434  lv,1-Dec,0,26,4,1,7,2,22,2,18,2
US,Quinnipiac University,B+,651  rv,1-Dec,18.8,25,6,1,8,4,19,1,16,5
Iowa,Monmouth University,A+,405  lv,1-Dec,0,28,0,0,25,0,24,0,16,0
Iowa,Monmouth University,A+,405  lv,1-Dec,35.5,24,0,4,17,8,18,4,15,3
Nevada,Suffolk University,A-,500  lv,1-Nov,22.7,19,0,2,8,4,18,8,11,4
US,IBD/TIPP,A/B,333  rv,1-Nov,14.4,26,7,0,9,3,15,2,20,3
California,Tulchin Research,B/C,1121  lv,1-Oct,11.2,25,7,1,8,2,29,3,12,5
US,Ipsos,B-,436  rv,1-Sep,0,23,8,2,7,1,20,3,15,3
US,Ipsos,B-,707  a,1-Sep,0,15,6,2,5,1,17,3,10,3
California,Capitol Weekly,-,1053  lv,1-Sep,6.8,20,6,1,11,5,24,2,21,7
Nevada,Myers Research/Strategic Services,-,600  lv,1-Aug,5.6,28,0,2,6,4,29,8,14,5
Iowa,Selzer & Co.,A+,701  lv,1-Aug,44.8,15,1,3,16,6,20,2,17,5
Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,A-,671  lv,1-Aug,25.6,23,7,3,9,4,21,2,13,3
Nevada,Fox News/Beacon Research/Shaw & Co. Research,A-,635  lv,1-Aug,24.9,23,2,3,6,2,17,12,12,4
South Carolina,Fox News/Beacon Research/Shaw & Co. Research,A-,808  lv,1-Aug,28.2,36,2,2,4,1,14,15,10,2
New Hampshire,Patinkin Research Strategies,-,600  lv,1-Jul,5.5,21,0,2,17,6,19,6,10,5
New Hampshire,Monmouth University,A+,404  lv,1-Jul,0,24,0,0,23,0,21,0,18,0
New Hampshire,Monmouth University,A+,404  lv,1-Jul,0,21,0,2,20,7,21,0,15,5
New Hampshire,Monmouth University,A+,404  lv,1-Jul,30.6,19,0,1,20,6,18,4,15,3
US,YouGov,B-,574  lv,1-Jul,0,27,3,1,7,3,20,2,22,3
New Mexico,Emerson College,A-,447  lv,1-Jun,19.7,27,3,2,7,2,28,1,8,10
US,Morning Consult,B/C,17213  lv,1-May,0,31,7,2,8,3,23,4,14,4
New Hampshire,YouGov,B-,487  lv,1-Mar,7.7,25,0,3,13,7,27,3,18,2
Iowa,YouGov,B-,747  lv,1-Mar,0,23,0,2,23,7,23,2,16,2
Connecticut,Sacred Heart University,B/C,348  rv,1-Feb,3.8,33,0,0,11,0,19,0,18,0
US,YouGov,B-,548  lv,Dec-31,0,29,3,2,8,4,19,2,18,3
US,Harris Insights & Analytics,C+,780  rv,Dec-29,0,30,7,2,7,2,17,2,12,3
US,Morning Consult,B/C,17787  lv,Dec-29,0,32,6,3,8,3,21,3,14,4
US,Harris Insights & Analytics,C+,431  rv,Dec-28,0,28,11,2,6,2,16,2,11,2
US,YouGov,B-,586  lv,Dec-24,0,30,4,2,7,5,17,1,19,3
US,YouGov,B-,412  lv,Dec-23,0,34,4,3,7,2,19,0,20,4
US,Morning Consult,B/C,7178  lv,Dec-22,0,31,6,3,9,3,21,3,15,5
US,Ipsos,B-,571  rv,Dec-19,0,20,6,0,5,2,16,3,13,3
US,Ipsos,B-,709  a,Dec-19,0,18,5,1,4,1,15,2,10,2
US,McLaughlin & Associates,C/D,480  lv,Dec-18,0,23,5,4,5,2,17,3,15,4
US,McLaughlin & Associates,C/D,480  lv,Dec-18,2.3,27,5,3,5,2,17,4,15,5
US,NBC News/Wall Street Journal,A/B,410  lv,Dec-17,11.1,28,4,2,9,5,21,1,18,3
US,YouGov,B-,555  lv,Dec-17,0,29,4,2,7,4,19,2,17,3
US,Emerson College,A-,525  lv,Dec-17,0,32,3,2,8,2,25,2,12,6
Iowa,Civiqs,-,632  lv,Dec-16,3.7,15,0,3,24,4,21,2,18,3
US,SSRS,A/B,408  rv,Dec-15,0,26,5,3,8,3,20,1,16,3
US,Morning Consult,B/C,13384  lv,Dec-15,0,31,7,3,8,2,22,3,15,4
US,Quinnipiac University,B+,567  rv,Dec-15,0,30,7,2,9,3,16,1,17,3
US,Echelon Insights,-,447  lv,Dec-14,0,65,0,0,20,0,0,0,0,0
US,Echelon Insights,-,447  lv,Dec-14,0,59,0,0,0,0,0,0,29,0
US,Echelon Insights,-,447  lv,Dec-14,0,58,0,0,0,0,32,0,0,0
US,Echelon Insights,-,447  lv,Dec-14,0,37,6,1,6,2,14,1,14,2
US,Harris Insights & Analytics,C+,456  rv,Dec-14,0,29,5,2,5,3,13,3,13,3
US,Suffolk University,A-,384  lv,Dec-14,11.6,23,6,3,8,3,14,1,13,2
US,IBD/TIPP,A/B,312  rv,Dec-14,0,26,5,3,9,2,18,2,14,2
US,Ipsos,B-,593  rv,12-Dec,0,21,7,0,5,2,18,3,11,3
US,Marist College,A+,704  rv,12-Nov,24.9,24,4,4,13,4,22,0,17,5
US,Fox News/Beacon Research/Shaw & Co. Research,A-,453  lv,12-Nov,0,30,5,2,7,5,20,1,13,3
South Carolina,Change Research,C,392  lv,12-Nov,2.9,27,3,5,9,2,20,5,19,2
California,Change Research,C,862  lv,12-Oct,3.7,19,3,3,12,1,26,2,23,4
US,YouGov,B-,497  lv,12-Oct,0,26,4,3,11,2,16,1,21,3
Iowa,Emerson College,A-,325  lv,12-Oct,0,23,2,4,18,10,22,3,12,2
Texas,SSRS,A/B,327  lv,12-Sep,8.6,35,5,2,9,1,15,2,13,3
US,Quinnipiac University,B+,665  rv,12-Sep,0,29,5,1,9,3,17,1,15,4
US,Zogby Interactive/JZ Analytics,C,443  lv,12-Aug,0,28,9,0,8,2,20,3,12,3
US,Zogby Interactive/JZ Analytics,C,443  lv,12-Aug,2.8,30,8,0,7,2,20,3,16,4
Wisconsin,Marquette University Law School,A/B,358  lv,12-Aug,0,23,3,4,15,3,19,0,16,3
California,SSRS,A/B,508  lv,12-Aug,10.6,21,5,3,9,2,20,1,17,6
New Hampshire,MassINC Polling Group,A/B,442  lv,12-Aug,0,17,2,1,18,3,15,3,12,5
US,Monmouth University,A+,384  rv,12-Aug,0,26,5,2,8,4,21,1,17,3
US,Morning Consult,B/C,15442  lv,12-Aug,0,30,6,3,9,2,22,3,16,4
California,Capitol Weekly,-,581  lv,12-Jul,0,19,5,2,13,4,19,1,21,5
California,Capitol Weekly,-,581  lv,12-Jul,0,19,5,2,14,4,19,1,23,5
US,Ipsos,B-,574  rv,12-May,0,23,5,0,8,2,15,1,12,4
US,Ipsos,B-,719  a,12-May,0,19,4,1,6,1,14,1,9,3
US,YouGov,B-,541  lv,12-Mar,0,27,3,3,12,3,13,0,18,2
South Carolina,YouGov,B-,400  lv,12-Feb,0,61,0,0,0,0,0,0,29,0
South Carolina,YouGov,B-,400  lv,12-Feb,4.3,39,2,2,10,2,13,7,10,3
US,David Binder Research,-,1200  lv,12-Jan,3.5,29,8,2,10,2,15,2,14,2
US,Morning Consult,B/C,15773  lv,12-Jan,0,29,5,2,9,2,20,2,15,4
US,Harris Insights & Analytics,C+,437  rv,12-Jan,0,31,6,1,9,2,15,2,10,2
US,Harris Insights & Analytics,C+,756  rv,Nov-29,0,20,4,1,5,2,12,2,9,2
US,Harris Insights & Analytics,C+,756  rv,Nov-29,0,29,7,1,8,2,16,2,13,3
California,"University of California, Berkeley",B/C,1694  lv,Nov-27,6.1,14,2,1,12,3,24,1,22,3
US,YouGov,B-,550  lv,Nov-26,0,23,3,2,12,3,15,1,17,3
New Hampshire,Emerson College,A-,549  lv,Nov-26,0,14,1,2,22,2,26,3,14,5
Delaware,Data for Progress,B/C,528  lv,Nov-25,3.8,35,1,3,8,1,13,0,11,1
Illinois,Victory Research,B/C,1200  lv,Nov-25,5.4,23,4,2,16,3,15,2,17,1
US,Quinnipiac University,B+,574  rv,Nov-25,0,24,3,2,16,3,13,0,14,2
US,Ipsos,B-,589  rv,Nov-22,0,23,0,0,9,2,16,2,13,6
US,SSRS,A/B,431  rv,Nov-24,0,35,0,0,17,0,23,0,20,0
US,SSRS,A/B,431  rv,Nov-24,0,28,3,2,11,2,17,3,14,3
New Hampshire,Suffolk University,A-,500  lv,Nov-24,0,12,0,2,13,1,16,2,14,4
US,Morning Consult,B/C,8102  lv,Nov-24,0,30,2,2,9,2,21,2,15,4
US,Ipsos,B-,698  a,Nov-22,0,21,0,1,7,2,17,2,11,5
California,SurveyUSA,A,558  lv,Nov-22,0,28,3,3,8,1,18,3,13,5
California,SurveyUSA,A,558  lv,Nov-22,0,30,0,3,9,1,19,2,13,4
US,SocialSphere,B/C,987  lv,Nov-21,4.7,30,2,2,6,1,23,2,12,4
US,SurveyUSA,A,1088  lv,Nov-21,0,30,3,2,11,2,17,2,15,4
US,SurveyUSA,A,1088  lv,Nov-21,0,32,0,2,12,2,17,2,16,4
US,Change Research,C,1142  lv,Nov-20,3.1,22,1,1,14,2,23,0,23,4
US,Emerson College,A-,468  lv,Nov-20,0,27,1,1,7,1,27,2,20,4
Iowa,Civiqs,-,614  lv,Nov-19,0,12,1,1,26,5,18,2,19,4
US,YouGov,B-,586  lv,Nov-19,0,30,0,1,9,2,12,1,22,2
New York,Siena College,A-,380  rv,Nov-18,7,24,0,2,5,1,13,0,14,2
US,Swayable,-,1787  lv,Nov-18,3.3,30,0,2,7,2,17,2,18,4
US,Swayable,-,3709  a,Nov-18,0,27,0,2,6,2,20,2,15,5
Georgia,SurveyUSA,A,536  lv,Nov-18,10.5,36,6,0,7,0,17,0,14,0
Georgia,SurveyUSA,A,536  lv,Nov-18,0,39,0,0,7,0,18,0,14,0
New Hampshire,St. Anselm,-,255  lv,Nov-18,1.8,15,0,3,25,6,9,5,15,2
Wisconsin,Marquette University Law School,A/B,340  lv,Nov-17,0,30,0,3,13,3,17,1,15,2
US,Morning Consult,B/C,17050  lv,Nov-17,0,32,3,2,8,2,20,1,17,3
South Carolina,Quinnipiac University,B+,768  lv,Nov-17,8.2,33,0,2,6,1,11,5,13,4
US,Harris Insights & Analytics,C+,449  rv,Nov-17,0,30,3,1,7,1,18,1,15,2
US,Ipsos,B-,581  rv,Nov-14,0,26,0,0,6,1,18,1,12,2
Texas,University of Texas at Tyler,B/C,427  rv,Nov-14,2.7,28,0,1,8,2,18,2,19,2
US,Ipsos,B-,685  a,Nov-14,0,19,3,1,6,1,19,1,13,2
US,Ipsos,B-,702  a,Nov-14,0,23,0,2,6,1,18,1,11,2
South Carolina,University of North Florida,A/B,436  lv,Nov-13,7.1,36,1,2,3,1,10,8,10,1
South Carolina,YouGov,B-,877  lv,Nov-13,0,45,0,2,8,1,15,2,17,0
Nevada,YouGov,B-,626  lv,Nov-13,4,33,0,2,9,2,23,2,21,1
New Hampshire,YouGov,B-,510  lv,Nov-13,0,22,0,1,16,3,20,1,31,1
Iowa,YouGov,B-,718  lv,Nov-13,0,22,0,1,21,5,22,2,18,1
Iowa,Selzer & Co.,A+,500  lv,Nov-13,0,15,2,3,25,6,15,3,16,3
Nevada,Fox News/Beacon Research/Shaw & Co. Research,A-,627  lv,Nov-13,0,24,0,1,8,2,18,5,18,3
North Carolina,Fox News/Beacon Research/Shaw & Co. Research,A-,669  lv,Nov-13,10,37,0,2,6,1,14,2,15,2
California,Public Policy Institute of California,A/B,682  lv,11-Dec,0,24,0,1,7,1,17,1,23,5
California,Capitol Weekly,-,695  lv,11-Dec,0,18,0,1,14,3,21,1,27,4
US,YouGov,B-,600  lv,11-Dec,0,23,0,1,9,2,17,1,26,4
Iowa,Monmouth University,A+,451  lv,11-Nov,0,19,0,2,22,5,13,3,18,3
Georgia,Climate Nexus,-,457  lv,11-Oct,2,31,0,2,4,1,14,1,14,2
US,Ipsos,B-,538  rv,11-Jul,0,20,0,0,5,1,16,1,13,3
Iowa,University of Iowa,B/C,465  lv,11-Oct,2.9,15,0,0,16,1,18,3,23,3
US,Morning Consult,B/C,16400  lv,11-Oct,0,32,2,3,8,2,20,1,19,3
New Hampshire,Quinnipiac University,B+,1134  lv,11-Oct,9.2,20,0,1,15,3,14,3,16,4
Arizona,OH Predictive Insights/MBQF,B/C,260  lv,11-Aug,2.4,29,0,2,9,2,16,1,18,4
US,Ipsos,B-,549  rv,11-Apr,0,24,0,0,8,0,15,1,13,3
North Carolina,High Point University,A/B,347  a,11-Jul,5.2,33,0,2,4,3,18,2,13,2
Iowa,Public Policy Polling,B,715  lv,11-Jun,5.4,13,0,1,20,9,14,6,21,3
Iowa,Quinnipiac University,B+,698  lv,11-May,6.9,15,0,1,19,5,17,3,20,3
US,YouGov,B-,579  lv,11-May,0,26,0,2,8,2,14,1,25,1
US,Change Research,C,456  lv,11-Mar,0,17,0,1,14,2,17,1,21,4
US,Ipsos,B-,686  a,11-Apr,0,22,0,1,6,0,15,1,11,2
US,USC Dornsife/LA Times,B/C,2599  lv,11-Mar,5.1,28,0,1,6,2,13,1,16,2
US,Monmouth University,A+,345  rv,11-Mar,0,23,0,3,9,2,20,1,23,3
US,Morning Consult,B/C,16071  lv,11-Mar,0,32,0,2,7,2,20,1,20,3
Nevada,Emerson College,A-,451  lv,11-Mar,7.3,30,0,1,5,1,19,3,22,5
Michigan,Emerson College,A-,454  lv,11-Mar,7.4,34,0,3,8,0,28,0,19,2
US,Harris Insights & Analytics,C+,429  rv,11-Feb,0,26,0,2,6,3,14,1,15,1
Nevada,Mellman Group,B/C,600  lv,11-Feb,3.1,29,0,1,7,3,19,4,19,3
US,YouGov,B-,541  lv,Oct-31,0,28,0,3,8,2,12,1,27,2
US,IBD/TIPP,A/B,361  rv,Oct-31,0,29,0,1,7,3,13,1,23,3
US,Harris Insights & Analytics,C+,640  rv,Oct-31,0,19,6,3,2,1,12,1,13,2
US,Harris Insights & Analytics,C+,640  rv,Oct-31,0,33,0,3,4,3,18,1,15,2
US,NBC News/Wall Street Journal,A/B,414  lv,Oct-30,0,27,0,2,6,5,19,0,23,3
US,Fox News/Beacon Research/Shaw & Co. Research,A-,471  lv,Oct-30,0,31,0,2,7,2,19,1,21,3
US,ABC News/Washington Post,A+,402  rv,Oct-30,0,28,0,2,9,2,17,1,23,2
US,ABC News/Washington Post,A+,452  a,Oct-30,0,27,0,2,7,1,19,1,21,2
Iowa,Siena College/New York Times Upshot,A+,439  lv,Oct-30,0,17,0,2,18,4,19,2,22,3
US,YouGov,B-,630  lv,Oct-29,0,27,0,1,8,2,14,1,23,3
Arizona,Emerson College,A-,339  lv,Oct-28,6,28,0,0,12,2,21,0,21,5
US,Swayable,-,2172  lv,Oct-27,0,29,0,3,6,2,17,1,19,3
Massachusetts,Evan Falchuk and Lou DiNatale,-,443  lv,Oct-25,0,35,0,0,0,0,13,0,41,0
US,Swayable,-,4358  a,Oct-27,0,27,0,3,5,2,19,2,15,4
Texas,YouGov,B-,541  lv,Oct-27,3.2,23,0,1,6,2,12,1,18,4
Pennsylvania,Franklin & Marshall College,B/C,226  rv,Oct-27,1.8,30,0,1,8,2,12,0,18,1
New Hampshire,University of New Hampshire,B,574  lv,Oct-27,0,15,0,2,10,5,21,3,18,5
US,Morning Consult,B/C,15431  lv,Oct-27,0,32,0,2,7,2,20,1,20,3
Wisconsin,Siena College/New York Times Upshot,A+,292  lv,Oct-26,8.6,23,0,1,5,0,20,0,25,2
North Carolina,Siena College/New York Times Upshot,A+,324  rv,Oct-26,8.3,29,0,1,1,0,13,0,15,0
Florida,Siena College/New York Times Upshot,A+,236  rv,Oct-26,6.9,27,0,0,5,2,13,0,19,0
US,Suffolk University,A-,399  lv,Oct-26,0,26,0,2,10,2,13,1,17,3
Pennsylvania,Siena College/New York Times Upshot,A+,304  rv,Oct-25,8,28,0,0,4,1,14,0,16,2
Michigan,Siena College/New York Times Upshot,A+,203  lv,Oct-25,6.9,30,0,0,3,1,17,0,21,1
US,Echelon Insights,-,449  lv,Oct-25,0,62,0,0,0,0,0,0,0,0
US,Echelon Insights,-,449  lv,Oct-25,0,60,0,0,0,0,28,0,0,0
US,Echelon Insights,-,449  lv,Oct-25,0,49,0,0,0,0,0,0,38,0
US,Echelon Insights,-,449  lv,Oct-25,0,32,0,2,6,2,15,1,22,1
Arizona,Siena College/New York Times Upshot,A+,209  rv,Oct-23,6.3,24,0,0,5,1,16,0,15,1
US,McLaughlin & Associates,C/D,468  lv,Oct-22,0,0,1,4,5,2,23,2,20,6
US,McLaughlin & Associates,C/D,468  lv,Oct-22,0,28,0,3,3,2,18,0,16,6
Maine,Maine People's Resource Center,B/C,728  lv,Oct-21,2.6,27,0,3,9,0,15,0,22,2
Iowa,Civiqs,-,598  lv,Oct-22,0,12,0,1,20,4,18,3,28,2
US,YouGov,B-,628  lv,Oct-22,0,24,0,2,8,1,15,1,21,3
US,Harris Insights & Analytics,C+,440  rv,Oct-22,0,27,0,1,6,1,14,1,19,2
South Carolina,Change Research,C,731  lv,Oct-21,0,30,0,3,9,3,13,5,19,4
US,Quinnipiac University,B+,713  rv,Oct-21,0,21,0,1,10,3,15,1,28,1
South Carolina,Monmouth University,A+,402  lv,Oct-21,10.3,33,0,2,3,2,12,4,16,2
US,Emerson College,A-,430  lv,Oct-21,0,27,0,3,6,1,25,1,21,4
Massachusetts,MassINC Polling Group,A/B,456  lv,Oct-20,5.6,18,0,0,7,1,13,1,33,1
US,SSRS,A/B,424  rv,Oct-20,0,34,0,1,6,3,16,1,19,2
US,Morning Consult,B/C,11521  lv,Oct-20,0,30,0,3,6,2,18,1,21,3
California,Change Research,C,1631  lv,Oct-18,0,19,0,1,9,2,24,1,28,3
US,Ipsos,B-,566  rv,Oct-18,0,24,0,1,5,1,15,0,17,2
Wisconsin,Marquette University Law School,A/B,379  lv,Oct-17,0,31,0,1,7,3,17,0,24,3
Wisconsin,Kaiser Family Foundation,-,274  lv,Oct-15,1.3,17,0,2,6,3,10,0,22,2
Pennsylvania,Kaiser Family Foundation,-,246  lv,Oct-15,1.2,27,0,1,3,1,14,1,18,2
Minnesota,Kaiser Family Foundation,-,249  lv,Oct-15,1.2,14,0,1,7,15,13,0,25,4
Michigan,Kaiser Family Foundation,-,208  lv,Oct-15,1.2,19,0,1,7,1,15,0,25,1
Wyoming,Montana State University Billings,B/C,14  lv,Oct-16,,0,0,0,0,1,0,0,82,2
Montana,Montana State University Billings,B/C,40  lv,Oct-16,,15,0,0,2,2,2,0,40,0
Iowa,Suffolk University,A-,500  lv,Oct-18,0,18,0,1,13,3,9,3,17,1
US,Harris Insights & Analytics,C+,1839  lv,Oct-18,0,34,0,2,4,2,16,1,18,2
US,Ipsos,B-,703  a,Oct-18,0,21,0,1,5,1,16,0,15,2
US,Harris Insights & Analytics,C+,763  lv,Oct-18,0,33,0,1,4,2,17,2,18,2
California,SurveyUSA,A,553  lv,Oct-16,0,33,0,2,4,1,17,1,18,4
US,SurveyUSA,A,1071  lv,Oct-16,0,32,0,2,5,2,17,1,22,2
US,Public Religion Research Institute,A/B,436  rv,Oct-13,4.8,25,0,3,4,1,17,0,16,3
US,Public Religion Research Institute,A/B,487  a,Oct-13,0,24,0,3,4,1,16,0,16,3
US,Harris Insights & Analytics,C+,815  lv,Oct-17,0,34,0,2,3,2,15,2,16,2
US,Swayable,-,2077  lv,10-Aug,0,33,0,3,4,2,16,0,21,3
US,Swayable,-,4216  a,10-Aug,0,28,0,3,4,2,20,1,17,4
Iowa,Emerson College,A-,317  lv,Oct-16,0,23,0,3,16,1,13,2,23,5
US,Harris Insights & Analytics,C+,828  lv,Oct-16,0,34,0,2,3,1,15,1,18,2
US,YouGov,B-,623  lv,Oct-15,0,25,0,2,6,2,13,1,28,2
US,Harris Insights & Analytics,C+,828  lv,Oct-15,0,35,0,2,4,1,14,1,17,2
California,Capitol Weekly,-,590  lv,Oct-14,0,21,0,2,6,1,15,1,35,3
US,Harris Insights & Analytics,C+,789  lv,Oct-14,0,34,0,2,4,1,15,0,20,3
Maine,Public Policy Polling,B,366  v,Oct-13,2.6,19,0,2,9,0,12,0,31,3
US,Morning Consult,B/C,15683  lv,Oct-13,0,32,0,2,5,1,19,1,21,3
US,Quinnipiac University,B+,505  rv,Oct-13,0,27,0,2,8,2,11,2,30,2
New Hampshire,RKM Research and Communications Inc.,A/B,422  lv,Oct-13,0,20,0,2,5,2,15,1,20,1
New Hampshire,RKM Research and Communications Inc.,A/B,422  lv,Oct-13,0,24,0,2,9,2,22,1,25,1
South Carolina,YouGov,B-,846  lv,10-Nov,0,43,0,3,4,1,16,2,18,1
New Hampshire,YouGov,B-,488  lv,10-Nov,0,24,0,1,7,2,17,4,32,5
Iowa,YouGov,B-,597  lv,10-Nov,0,22,0,2,14,2,21,3,22,0
US,Harris Insights & Analytics,C+,1841  lv,10-Nov,0,35,0,2,5,1,15,1,18,2
US,Harris Insights & Analytics,C+,812  lv,10-Nov,0,36,0,2,6,1,14,1,16,2
New York,Siena College,A-,340  rv,10-Oct,0,21,0,1,4,1,16,0,21,3
South Carolina,Optimus,C/D,607  lv,10-Oct,1,32,0,2,4,0,8,0,16,2
New Hampshire,Optimus,C/D,610  lv,10-Oct,1,18,0,2,7,0,9,0,25,2
Iowa,Optimus,C/D,548  lv,10-Oct,1,22,0,2,17,0,5,0,25,1
US,Harris Insights & Analytics,C+,813  lv,10-Oct,0,35,0,2,6,0,14,1,17,2
North Carolina,East Carolina University,-,291  lv,10-Sep,1.2,29,0,1,4,3,19,0,17,9
US,Harris Insights & Analytics,C+,784  lv,10-Sep,0,36,0,2,5,1,15,2,17,2
US,Fox News/Beacon Research/Shaw & Co. Research,A-,484  lv,10-Aug,0,32,0,2,4,2,17,1,22,2
US,YouGov,B-,598  lv,10-Aug,0,25,0,1,5,2,13,1,28,3
US,Harris Insights & Analytics,C+,759  lv,10-Aug,0,36,0,2,5,0,15,2,18,2
South Carolina,Gravis Marketing,C+,516  lv,10-Jul,2,34,0,6,0,2,10,7,9,2
Ohio,Climate Nexus,-,443  lv,10-Jul,1.5,32,0,3,5,0,13,1,21,3
US,Harris Insights & Analytics,C+,446  rv,10-Jul,0,31,0,1,4,2,17,2,15,2
US,Quinnipiac University,B+,646  rv,10-Jul,0,26,0,2,4,2,16,0,29,3
US,Harris Insights & Analytics,C+,774  lv,10-Jul,0,33,0,3,4,1,16,1,19,2
North Carolina,Public Policy Polling,B,410  v,10-Jun,0,39,0,2,9,0,6,0,22,3
Pennsylvania,Susquehanna Polling & Research Inc.,C,307  rv,10-Jun,1.2,17,0,0,8,1,6,0,9,0
US,Harris Insights & Analytics,C+,526  lv,10-Jun,0,0,0,0,0,0,0,0,39,0
US,Harris Insights & Analytics,C+,888  rv,10-Jun,0,0,0,0,0,0,0,0,36,0
US,Harris Insights & Analytics,C+,526  lv,10-Jun,0,0,0,0,0,0,44,0,42,0
US,Harris Insights & Analytics,C+,888  rv,10-Jun,0,0,0,0,0,0,41,0,39,0
US,Harris Insights & Analytics,C+,526  lv,10-Jun,0,0,0,0,0,0,43,0,0,0
US,Harris Insights & Analytics,C+,888  rv,10-Jun,0,0,0,0,0,0,42,0,0,0
